"","States.Code","States","Year","total_cancer_count","avg_pm25_pop_pred","avg_o3_pop_pred"
"160",21,"Kentucky",2011,4754,10.160121363416,41.6279437656438
"161",22,"Louisiana",2002,3315,10.0177268371645,39.6238612938155
"162",22,"Louisiana",2003,3511,10.9623663574253,41.6590272537284
"163",22,"Louisiana",2004,3582,10.6697850673019,40.5740363017213
"164",22,"Louisiana",2005,3417,11.5687805890357,44.4351532272809
"165",22,"Louisiana",2006,3419,11.4482499659251,44.2427981529562
"166",22,"Louisiana",2007,3451,10.894259084671,40.9988541988279
"167",22,"Louisiana",2008,3514,10.1429859200655,39.1450615078886
"168",22,"Louisiana",2009,3485,8.87557258393254,38.0635829999685
"169",22,"Louisiana",2010,3504,9.58873496912769,41.932485262404
"170",22,"Louisiana",2011,3442,9.29169353071103,41.3360261679843
"171",23,"Maine",2002,1184,8.82682074088888,37.1430920862318
"172",23,"Maine",2003,1224,8.02442586357886,37.0017103019699
"173",23,"Maine",2004,1272,8.39881903478753,35.3368046948535
"174",23,"Maine",2005,1265,8.67620957833343,35.2867193463681
"175",23,"Maine",2006,1279,8.17318942260972,34.7676437705264
"176",23,"Maine",2007,1290,7.72150780718175,36.2550536782476
"177",23,"Maine",2008,1283,7.57067613392535,35.943841022139
"178",23,"Maine",2009,1345,7.20090123374571,34.3014581659018
"179",23,"Maine",2010,1296,6.47084018443167,35.4012975109749
"180",23,"Maine",2011,1232,7.25226179022146,35.1119628570896
"181",24,"Maryland",2002,3613,13.3372228459338,43.3460027605229
"182",24,"Maryland",2003,3836,13.3103795815582,40.3013319269786
"183",24,"Maryland",2004,3729,13.408236777987,39.7687858540883
"184",24,"Maryland",2005,3758,13.5725491631224,40.9747728173418
"185",24,"Maryland",2006,3785,12.7885977700587,41.7744650645676
"186",24,"Maryland",2007,3786,12.7526443490482,42.7879155210191
"187",24,"Maryland",2008,3862,11.8954304038252,41.0783440537709
"188",24,"Maryland",2009,3709,9.95994013259213,38.8448148017095
"189",24,"Maryland",2010,3672,10.118232957149,44.0682395678288
"190",24,"Maryland",2011,3723,9.43213015902117,41.7295198402626
"191",25,"Massachusetts",2002,4936,10.9285971697737,40.6026840170274
"192",25,"Massachusetts",2003,4873,10.8466294696284,39.6779333262415
"193",25,"Massachusetts",2004,4959,10.4123018387072,38.0318449396904
"194",25,"Massachusetts",2005,5185,10.9159931382019,40.0559711134884
"195",25,"Massachusetts",2006,5073,9.79023764061684,38.6157507783804
"196",25,"Massachusetts",2007,5070,9.90066643340163,39.344254539103
"197",25,"Massachusetts",2008,5183,9.2874489354029,39.1345020997749
"198",25,"Massachusetts",2009,5198,8.41791322846058,36.848998234842
"199",25,"Massachusetts",2010,4961,7.9783134447965,39.013403313333
"200",25,"Massachusetts",2011,5032,8.60328123266458,37.8606994839973
"201",26,"Michigan",2002,7401,10.4598820189049,38.8722081126928
"202",26,"Michigan",2003,7989,10.1042498203281,38.8646197121801
"203",26,"Michigan",2004,7678,9.69152547234884,36.6697020907101
"204",26,"Michigan",2005,7875,10.7683295751838,39.3080981688329
"205",26,"Michigan",2006,7887,9.76730453602712,36.9723197191972
"206",26,"Michigan",2007,8146,9.76680751048059,38.820924080088
"207",26,"Michigan",2008,7863,9.39076678684519,37.3501031387763
"208",26,"Michigan",2009,7783,8.75230573141268,35.2425987524197
"209",26,"Michigan",2010,8097,8.21331645872661,38.4143112634307
"210",26,"Michigan",2011,7961,8.46133774589516,37.9322779627393
"211",27,"Minnesota",2002,2821,8.73367986462585,36.2854339103546
"212",27,"Minnesota",2003,2924,9.36834518685807,37.9573919305116
"213",27,"Minnesota",2004,2910,9.07655387713279,35.1582238081039
"214",27,"Minnesota",2005,2921,9.67778990521767,37.5288767461706
"215",27,"Minnesota",2006,2902,8.88648358667582,36.9139410287765
"216",27,"Minnesota",2007,3059,9.35335938556351,36.6155880358937
"217",27,"Minnesota",2008,3076,9.15397012524535,36.1398180165713
"218",27,"Minnesota",2009,3183,9.02422508346544,34.9102094787756
"219",27,"Minnesota",2010,3223,8.65610907358627,36.8168716683948
"220",27,"Minnesota",2011,3141,8.54946837682319,36.6992888427195
"221",28,"Mississippi",2003,2314,11.4502426885833,41.2732176247451
"222",28,"Mississippi",2004,2336,11.0652974399265,39.910739213169
"223",28,"Mississippi",2005,2272,12.1068553421799,43.3899493330163
"224",28,"Mississippi",2006,2361,11.5800310161726,44.4618818742992
"225",28,"Mississippi",2007,2522,11.5689912194548,42.0260927042874
"226",28,"Mississippi",2008,2612,10.5998722345595,39.6105945652053
"227",28,"Mississippi",2009,2495,9.1353999491686,37.4559018963514
"228",28,"Mississippi",2010,2472,9.89168676059234,40.9169990034772
"229",28,"Mississippi",2011,2452,9.51986190746362,40.8908764258515
"230",29,"Missouri",2002,4871,11.5566328091371,41.3887627126071
"231",29,"Missouri",2003,5071,11.4658005435751,41.491692824585
"232",29,"Missouri",2004,4982,10.4411247149723,38.3562406635266
"233",29,"Missouri",2005,5253,12.2305433017109,42.0851962073552
"234",29,"Missouri",2006,5231,10.6239932995143,41.882282246833
"235",29,"Missouri",2007,5092,11.4313090794735,41.6524174766026
"236",29,"Missouri",2008,5162,10.4705830478222,39.1045163481722
"237",29,"Missouri",2009,5378,9.60684263149624,38.1335502946903
"238",29,"Missouri",2010,5215,10.1475791018175,40.5699558607762
"239",29,"Missouri",2011,5313,9.78908812039302,41.2309419662365
"240",30,"Montana",2002,668,6.52242915103192,38.8352456221215
"241",30,"Montana",2003,676,7.5019134494985,39.8774324948635
"242",30,"Montana",2004,655,6.63060725887586,37.9043433763823
"243",30,"Montana",2005,745,6.81324733385626,38.8433915455124
"244",30,"Montana",2006,718,7.0803432350711,39.7983163918792
"245",30,"Montana",2007,749,6.84049618099634,40.4827723033244
"246",30,"Montana",2008,710,6.19505837788953,40.23891853348
"247",30,"Montana",2009,724,6.8203395568147,38.656609338566
"248",30,"Montana",2010,695,6.48231445353629,38.3728508383148
"249",30,"Montana",2011,742,5.9542943928066,39.7791581947749
"250",31,"Nebraska",2002,1134,7.90789059064694,39.4525830226329
"251",31,"Nebraska",2003,1173,8.64864859181323,39.2866250862345
"252",31,"Nebraska",2004,1240,8.3004069658857,38.7378310005937
"253",31,"Nebraska",2005,1199,8.54048763446372,40.4874242996919
"254",31,"Nebraska",2006,1203,8.00242981018201,40.5572761593457
"255",31,"Nebraska",2007,1291,8.46392786023906,39.3470260937949
"256",31,"Nebraska",2008,1214,8.02326135207132,38.4934705448208
"257",31,"Nebraska",2009,1155,8.01891175361142,36.6301963469034
"258",31,"Nebraska",2010,1227,7.87451078263454,38.6291273882054
"259",31,"Nebraska",2011,1177,7.70754871184955,39.7971047571923
"260",32,"Nevada",2002,1640,7.78887564450393,45.2063576571566
"261",32,"Nevada",2003,1681,7.05126295326215,44.6015914316893
"262",32,"Nevada",2004,1727,7.28046388930671,43.9589406577011
"263",32,"Nevada",2005,1636,7.33084831368533,43.6599895134827
"264",32,"Nevada",2006,1787,6.98974722222368,45.1793936075276
"265",32,"Nevada",2007,1742,5.53525139754029,44.9879068689044
"266",32,"Nevada",2008,1807,7.01708124396934,44.3853201304704
"267",32,"Nevada",2009,1729,6.6555713193488,43.0024689227577
"268",32,"Nevada",2010,1677,5.73581127580009,43.9477508769502
"269",32,"Nevada",2011,1752,6.27657045058402,43.9171673527564
"270",33,"New Hampshire",2002,891,9.62642095674508,38.9265011372275
"271",33,"New Hampshire",2003,913,8.47290866860204,38.6663848171532
"272",33,"New Hampshire",2004,987,9.02451860794959,37.1977341484376
"273",33,"New Hampshire",2005,1034,9.57874016936562,37.8721445647338
"274",33,"New Hampshire",2006,983,8.56756582721404,35.9589441667466
"275",33,"New Hampshire",2007,1000,8.70741659475663,38.0908361974771
"276",33,"New Hampshire",2008,1034,8.38848657860292,37.2639287572354
"277",33,"New Hampshire",2009,1038,7.75957438789803,35.4320963295048
"278",33,"New Hampshire",2010,1081,7.2948474651831,38.110765013776
"279",33,"New Hampshire",2011,1098,7.85352284205562,36.6583259953198
"280",34,"New Jersey",2002,6074,12.8626802531724,41.5084430435262
"281",34,"New Jersey",2003,6011,13.2145633254981,38.3839447099001
"282",34,"New Jersey",2004,5786,12.3566195604858,37.3466960263261
"283",34,"New Jersey",2005,6127,12.8325275584603,39.3539742607102
"284",34,"New Jersey",2006,6141,12.0073415120683,39.3571246364861
"285",34,"New Jersey",2007,6162,12.1561099568036,39.4384547068015
"286",34,"New Jersey",2008,6168,11.3466311270355,38.8141150046132
"287",34,"New Jersey",2009,6043,9.5242221515408,36.2078269571971
"288",34,"New Jersey",2010,5800,9.23147427117616,40.9953119003041
"289",34,"New Jersey",2011,6015,9.76853079659024,38.5324106148352
"290",35,"New Mexico",2002,904,6.33168090701887,45.5447183203272
"291",35,"New Mexico",2003,855,6.70172876532625,46.4010956189908
"292",35,"New Mexico",2004,903,6.25259009582793,44.4428015791552
"293",35,"New Mexico",2005,957,6.09351563891586,45.1464549716607
"294",35,"New Mexico",2006,940,6.14023971737163,45.5345570506072
"295",35,"New Mexico",2007,983,5.48913326841114,45.7630198984619
"296",35,"New Mexico",2008,970,5.80721086638166,45.2993964957066
"297",35,"New Mexico",2009,966,6.36574417455442,43.4333267838149
"298",35,"New Mexico",2010,964,5.63041015160195,44.6832042726083
"299",35,"New Mexico",2011,981,6.48021067294524,46.6829362767577
"300",36,"New York",2002,13025,11.4550895680648,40.489824733945
"301",36,"New York",2003,13015,11.2061510013602,38.7320092431364
"302",36,"New York",2004,13125,10.4799202032024,36.5634033903888
"303",36,"New York",2005,13190,11.5532955019497,39.0737771178438
"304",36,"New York",2006,13350,9.74431678310897,37.2229541136642
"305",36,"New York",2007,13543,10.1361352344608,38.829563058457
"306",36,"New York",2008,13752,9.55645402225215,37.8406202425261
"307",36,"New York",2009,13709,8.36201762509561,36.2316872150855
"308",36,"New York",2010,13495,8.14673292018504,38.7767991575029
"309",36,"New York",2011,13822,8.548690419809,37.0624129624098
"310",37,"North Carolina",2002,5999,12.0447854928269,45.4233894486927
"311",37,"North Carolina",2003,6244,11.9400298771271,42.8055171959464
"312",37,"North Carolina",2004,6610,12.1423642048817,41.3502244372387
"313",37,"North Carolina",2005,6980,12.2975516487777,43.8854764118073
"314",37,"North Carolina",2006,7098,12.2497439903402,44.3230195632886
"315",37,"North Carolina",2007,7205,12.2963681062908,46.2620630053303
"316",37,"North Carolina",2008,7322,11.1824733363774,43.8882965611263
"317",37,"North Carolina",2009,7522,9.17155991740126,39.5631659192612
"318",37,"North Carolina",2010,7557,9.92630274322743,43.9825583792353
"319",37,"North Carolina",2011,7512,9.44045988221303,43.3827339632964
"320",38,"North Dakota",2002,420,6.94959058899975,36.6804591955945
"321",38,"North Dakota",2003,446,7.25950647448645,37.8394360248734
"322",38,"North Dakota",2004,421,7.49298869117016,34.958650016128
"323",38,"North Dakota",2005,458,7.22350820689358,36.3950282555808
"324",38,"North Dakota",2006,404,7.28774500414959,37.4668260871951
"325",38,"North Dakota",2007,408,7.19980597507469,36.0573286869876
"326",38,"North Dakota",2008,402,7.3668242861057,37.0182218583765
"327",38,"North Dakota",2009,420,7.70516463488976,35.1950579160721
"328",38,"North Dakota",2010,440,7.42264190665221,36.850917086823
"329",38,"North Dakota",2011,483,6.91465725281136,37.0662003030305
"330",39,"Ohio",2002,9232,15.12106443276,42.4431860891133
"331",39,"Ohio",2003,9180,13.6028758830405,39.8546593391089
"332",39,"Ohio",2004,9457,13.7308987861358,38.0987414750801
"333",39,"Ohio",2005,9559,14.9361683909653,40.7086324031983
"334",39,"Ohio",2006,9655,13.309358418285,39.5712245124689
"335",39,"Ohio",2007,9569,14.3032321947432,41.5228931126515
"336",39,"Ohio",2008,9756,12.5369035062911,40.4564800503867
"337",39,"Ohio",2009,10002,11.7561362657499,38.1568584084414
"338",39,"Ohio",2010,9767,12.1337961671787,41.16586084505
"339",39,"Ohio",2011,9827,11.1047125248978,39.7364061939055
"340",40,"Oklahoma",2002,3132,9.82016304821708,42.4611748756679
"341",40,"Oklahoma",2003,3054,9.80114895902543,43.8338812241539
"342",40,"Oklahoma",2004,3057,9.52557941771054,40.9595053545733
"343",40,"Oklahoma",2005,3123,10.3102211360381,44.1413455894062
"344",40,"Oklahoma",2006,3196,9.26176311581392,45.8271844596037
